,population,newborn,child_mortality,poverty_percent,poverty_children,poverty_pensioners,poverty_labouring,per_capita_cash_income,real_income,formal_wage_paid,real_pay,disabled_by_age,all_disease,mental_disorder,food_disorder,disease_alco,disease_drug,gross_product,regional_prod,retail_turnover,welfare_expense,housing_constraints,housing_area_per_person,no_improvement_funds,improvement_without_complaints,group_crimes,domestic_violence,foreign_crimes,registered_crimes,crimes_severe,crimes_heavy,crimes_theft,crimes_drugs,ophans,poor_pensioner,unemployment,min_living_cost
Еврейская автономная область,153831.0,1551.0,18.0,23.6,34.8,10.8,54.4,28048.0,99.2,46237.0,103.7,4867.0,328027.30000000005,2004.9,3054.4,87.0,65.4,400340.5,55938814.6,188492.0,31.2,4.6,13.8,0.0,17.5,31.0,195.0,8.0,614.0,19.0,147.0,195.0,107.0,0.73,32.6,4.9,15421.75
Забайкальский край,1043467.0,11982.99,90.0,20.9,33.4,7.2,59.3,27046.0,99.9,47172.0,102.9,30679.0,318682.3,2849.3,6509.3,77.7,9.6,402594.6,479071355.6,188623.0,26.5,5.1,17.1,5.7,21.599999999999998,607.0,1090.0,45.0,4354.0,216.0,858.0,1518.0,457.0,0.5,37.9,8.7,13186.25
Ивановская область,976918.0,7327.0,24.0,13.7,47.5,5.0,47.5,26277.0,97.2,29083.0,101.6,24387.0,470448.9,1784.4,4983.5,78.5,5.7,273821.5,439572223.2,211546.0,25.1,3.9,18.1,4.0,8.200000000000001,377.0,536.0,138.0,2540.0,116.0,434.0,1429.0,133.0,0.25,8.8,3.2,10607.5
Иркутская область,2357134.0,26086.0,137.0,17.6,41.5,7.0,51.5,27571.0,100.4,49885.0,103.5,86275.0,429476.7,2817.0,9347.400000000001,81.7,15.7,631591.9,2435841066.0,200034.0,28.6,4.1,16.3,11.4,9.6,862.0,1595.0,120.0,7718.0,326.0,1364.0,3764.0,485.0,0.21,20.4,5.0,12083.25
Кабардино-Балкарская Республика,870487.0,10462.0,51.0,24.2,35.9,6.7,57.4,21957.0,98.7,29899.0,105.0,28608.0,215922.3,647.6,3465.3999999999996,51.6,10.0,210674.1,100210460.16,217260.0,34.4,3.0,18.9,0.0,2.1999999999999993,282.0,212.0,51.0,1502.0,87.0,238.0,539.0,263.0,0.04,23.0,10.1,11799.0
Калининградская область,1027678.0,8904.0,37.0,13.5,29.1,6.1,64.8,29518.0,99.2,36647.0,99.2,22048.0,382575.7,2403.9,3724.1,79.1,4.2,530036.9,1303663777.26,218937.0,12.6,5.9,15.6,0.0,8.4,153.0,449.0,68.0,2098.0,66.0,314.0,1209.0,123.0,0.16,20.9,3.1,11832.25
Калужская область,1012844.0,8634.0,31.0,9.7,31.1,18.4,50.4,32442.0,99.2,43994.0,102.4,26066.0,375175.4,1705.1,5044.3,58.1,6.0,558174.6,1848178887.8,235693.0,16.9,3.3,15.5,0.0,1.5999999999999996,816.0,361.0,283.0,2645.0,343.0,375.0,1244.0,316.0,0.09,15.7,3.9,11211.5
Камчатский край,312704.0,3080.0,15.0,14.6,42.6,5.9,51.5,55373.0,102.1,85623.0,103.8,5593.0,391643.3,1952.0,3273.0,63.1,9.2,942802.0,357628518.3,239715.0,13.3,5.1,15.9,20.3,11.3,104.0,192.0,52.0,1049.0,39.0,211.0,480.0,69.0,0.36,5.1,2.9,21319.25
Карачаево-Черкесская Республика,464219.0,4470.0,21.0,23.2,27.6,6.9,65.5,18949.0,97.3,29865.0,107.0,28819.0,251326.6,582.9,3993.6,21.7,5.4,207471.5,81138737.0,95066.0,26.5,5.8,18.3,7.9,11.9,166.0,95.0,33.0,1020.0,67.0,115.0,401.0,145.0,0.07,3.9,9.9,10255.5
Кемеровская область — Кузбасс,2604272.0,21702.0,119.0,13.2,39.7,4.5,55.8,25433.0,98.1,43429.0,100.6,78563.0,375047.3,3790.0,6702.0,39.7,11.8,392374.9,3031613466.82,176024.0,23.0,3.1,16.3,4.5,7.800000000000001,672.0,1921.0,67.0,9890.0,314.0,1587.0,5564.0,663.0,0.3,19.8,4.1,10495.75
Кировская область,1234780.0,10250.0,62.0,14.0,40.8,3.4,55.7,24192.0,97.8,32692.0,104.1,31333.0,369284.8,2121.1,8234.8,56.4,4.1,315153.9,612241879.12,190042.0,27.6,3.2,14.9,5.7,11.0,307.0,1028.0,27.0,3882.0,95.0,540.0,1993.0,169.0,0.31,11.4,3.8,10604.0
Костромская область,620776.0,4920.0,19.0,12.5,39.9,6.6,53.5,25780.0,97.3,32220.0,98.6,18065.0,377302.6,2572.7,4654.3,61.1,8.9,323951.6,349143213.2,217379.0,22.5,3.7,14.5,0.0,3.8999999999999995,284.0,379.0,32.0,1563.0,74.0,235.0,797.0,72.0,0.1,9.7,3.3,10879.25
